ÖSYM Program Kodu,Üniversite Türü,Üniversite,Fakülte / Yüksekokul,Puan Türü,Burs Türü,Genel Kontenjan,Okul Birincisi Kontenjanı,Toplam Kontenjan,Genel Kontenjana Yerleşen,Okul Birincisi Kontenjanına Yerleşen,Toplam Yerleşen,Boş Kalan Kontenjan,İlk Yerleşme Oranı,Yerleşip Kayıt Yaptırmayan,Ek Yerleşen,,,,"0,12 Katsayı ile Yerleşen Son Kişinin Başarı Sırası","0,12 + 0,06 Katsayı ile Yerleşen Son Kişinin Başarı Sırası",2018'de Yerleşip 2019'de OBP'si Kırılarak Yerleşen Sayısı,Yerleşenlerin Ortalama OBP'si,Yerleşenlerin Ortalama Diploma Notu
107010519,Devlet,NECMETTİN ERBAKAN ÜNİVERSİTESİ ,Mühendislik ve Mimarlık Fakültesi,SAY,Ücretsiz,90,3,93,92,1,93,---,"% 100,0",3,3,"313,06012",---,"405,46573",163.831,---,3,"425,128","85,0"
108110357,Devlet,NİĞDE ÖMER HALİSDEMİR ÜNİVERSİTESİ  ,Mimarlık Fakültesi,SAY,Ücretsiz,70,2,72,56,---,56,16,"% 77,8",2,12,Dolmadı,---,"355,18641",Dolmadı,---,1,"409,104","81,8"
108210965,Devlet,ONDOKUZ MAYIS ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,80,2,82,80,2,82,---,"% 100,0",---,---,"360,95843",---,"423,95373",99.549,---,5,"432,345","86,5"
108410318,Devlet,ORTA DOĞU TEKNİK ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,100,3,103,100,3,103,---,"% 100,0",---,---,"459,33576",---,"501,37531",24.807,---,3,"460,087","92,0"
108610722,Devlet,PAMUKKALE ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,Ücretsiz,80,2,82,80,2,82,---,"% 100,0",---,---,"350,01110",---,"413,23543",111.447,---,2,"441,339","88,3"
108810871,Devlet,SAKARYA ÜNİVERSİTESİ  ,"Sanat, Tasarım ve Mimarlık Fakültesi",SAY,Ücretsiz,80,2,82,80,2,82,---,"% 100,0",---,---,"350,53377",---,"422,18561",110.842,---,1,"420,049","84,0"
109010346,Devlet,SİİRT ÜNİVERSİTESİ ,Güzel Sanatlar ve Tasarım Fakültesi,SAY,Ücretsiz,70,2,72,42,---,42,30,"% 58,3",2,---,Dolmadı,---,"411,04030",Dolmadı,---,2,"395,062","79,0"
102610776,Devlet,SİVAS CUMHURİYET ÜNİVERSİTESİ ,"Mimarlık, Güzel Sanatlar ve Tasarım Fakültesi",SAY,Ücretsiz,80,2,82,82,---,82,---,"% 100,0",4,4,"297,27615",---,"429,36240",194.868,---,7,"416,851","83,4"
109210308,Devlet,SÜLEYMAN DEMİREL ÜNİVERSİTESİ ,Mimarlık Fakültesi,SAY,Ücretsiz,90,3,93,92,1,93,---,"% 100,0",1,1,"322,49612",---,"430,83754",148.127,---,7,"431,517","86,3"
107910352,Devlet,TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ ,"Güzel Sanatlar, Tasarım ve Mimarlık Fakültesi",SAY,Ücretsiz,80,2,82,82,---,82,---,"% 100,0",1,1,"289,07563",---,"377,13272",213.835,---,10,"412,309","82,5"
